2025-06-15 20:07:52,935 - INFO - [ingest_news] [ACCEPTED] ingest-test-1 | manual-ingest | Test Ingested Item 1
2025-06-15 20:07:52,935 - INFO - [ingest_news] [ACCEPTED] ingest-test-2 | manual-ingest | Test Ingested Item 2
2025-06-15 20:07:52,996 - INFO - [ingest_news] [ACCEPTED] retrieve-test-1 | test-source | Oldest
2025-06-15 20:07:52,996 - INFO - [ingest_news] [ACCEPTED] retrieve-test-2 | test-source | Newest
2025-06-15 20:07:52,996 - INFO - [ingest_news] [ACCEPTED] retrieve-test-3 | test-source | Middle
2025-06-15 20:07:53,124 - INFO - [ingest_news] [ACCEPTED] dup-test-1 | test-source | Original
2025-06-15 20:07:55,017 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] synth-5 | mock-api | Major Data Breach Discovered
2025-06-15 20:07:55,256 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] synth-6 | mock-api | Performance Degradation in Web Services
2025-06-15 20:07:55,646 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] synth-5 | mock-api | Major Data Breach Discovered
2025-06-15 20:07:55,887 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] synth-6 | mock-api | Performance Degradation in Web Services
2025-06-15 20:07:55,978 - INFO - [ingest_news] [ACCEPTED] test_id_1 | test_source | Test Title
2025-06-15 20:07:56,309 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-001 | status.aws.amazon.com | EU-West-1 EC2 Outage – Instances Unreachable
2025-06-15 20:07:56,565 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-002 | securityweek | Zero-day Exploit in OpenSSH Enables Root Access
2025-06-15 20:07:56,819 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-003 | postgresql-announce | PostgreSQL 16.2 Data Corruption Bug Under Heavy Write Load
2025-06-15 20:07:57,064 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-004 | azure-status | Azure AD Authentication Latency Spikes
2025-06-15 20:07:57,311 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-005 | apple-security-updates | macOS 15.1 Emergency Patch Fixes Kernel Remote Code Execution
